MSSV;Ho_ten;Ngay_sinh;Dia_chi;Gioi_tinh
16130309;Trần Hào;19970414;Nghĩa An- Quảng Ngãi- Quảng Ngãi;Nam
16130313;Nguyễn Thị Phúc;19981024; Hải Sơn- Móng Cái- Quảng Ninh;Nữ
16130327;Lê Kinh;19980511; Tam Thanh- Tam Kỳ -Quảng Nam;Nam
16130322;Nguyễn Viết Sơn;19970518; Hoàng Đồng -Lạng Sơn -Lạng Sơn;Nam
16130324;Nguyễn Thị Tuyết;19981221; Chiềng Cọ -Sơn La -Sơn La;Nữ
16130334;Trần Mạnh Hùng;19980401;Đông Lĩnh- Thanh Hóa- Thanh Hóa;Nam
16130353;Nguyễn Hà Hoa;19980312;Quảng Thịnh- Thanh Hóa- Thanh Hóa;Nam
16130358;Lê Thị Bông;19980627; Vũ Chính -Thái Bình- Thái Bình;Nữ
16130382;Kim Văn An;19980529;Vinh Sơn- Sông Công- Thái Nguyên;Nam
16130392;Kim Tằng Tôn Nữ;19971129;Quyết Thắng -Thái Nguyên -Thái Nguyên;Nữ
16130407;Lê Thị Tuyết Von;19961203; Trung An- Mỹ Tho- Tiền Giang;Nữ
16130408;Nguyễn Thị Son;19971231;Long Đức- Trà Vinh- Trà Vinh;Nữ
16130434;Nguyễn Anh Nhật;19981030; An Khang -Tuyên Quang- Tuyên Quang;Nam
16130436;Hồ Đắc Nhật;19980912; Mỹ Phong -Mỹ Tho- Tiền Giang;Nam
16130441;Trần Thị Bé;19990615; Bình Minh- Tây Ninh- Tây Ninh;Nữ
16130443;Nguyễn Thị Phụng;19980101; Tân Hòa- Vĩnh Long -Vĩnh Long;Nam
16130461;Nguyễn  Huy Hoàng;19971209; Văn Phú -Yên Bái- Yên Bái;Nữ
16130495;Tràn Linh ;19961229; Cư Êbu-r Buôn Ma Thuột- Đắk Lắk;Nữ
16130505;Lưu Lý Vi;19980210; Hiệp Hòa- Biên Hòa- Đồng Nai;Nữ
16130511;Tạ Văn Vũ;19950912;Tân Quy Tây -Sa Đéc- Đồng Tháp;Nam
16130527;Đỗ Tuấn Vũ;19980208; Quảng Lộc- Ba Đồn- Quảng Bình;Nam
16130537;Lâm Thị Diễm Hương;19970428;Hải Dương- Hương Trà- Thừa Thiên - Huế;Nữ
16130538;Đỗ Thị Yến Thanh;19980509;Bình Hiệp- Kiến Tường- Long An;Nữ
16130543;Mao Trạch Đông;19991213;An Điền- Bến Cát -Bình Dương;Nam
15130162;Trần Lý Thông;19980523;Bảo - Long Khánh- Đồng Nai;Nam
16130572;Tạ Thúy Vân;19960818;Vĩnh Hiệp- Vĩnh Châu- Sóc Trăng;Nữ
16130582;Lê Văn Vương;19981029;Nam Thái- An Biên- Kiên Giang;Nam
16130585;Lý Ma Ma;19980905;An Hưng- An Lão- Bình Định;Nữ
16130589;Trần Thanh Sơn;19980718; Tân Viên -An Lão- Hải Phòng;Nam
14130124;Lê Minh Trung;19970424; Phú Hội -An Phú -An Giang;Nam
16130610;Nguyễn Văn Thiên;19980622; Hội - Anh Sơn- Nghệ An;Nam
16130627;Lê Thị Phương;19970903; Quảng Khê- Ba Bể -Bắc Kạn;Nữ
16130284;Lý Minh Huy;19980909;An Hòa Tây -Ba Tri -Bến Tre;Nam
16130298;Trần Thị Lan;19981122;Tản Hồng -Ba Vì -Hà Nội;Nữ
16130300;Nguyễn Ngọc Bảo Trâm;19981221; Lương Trung -Bá Thước -Thanh Hóa;Nữ
14130167;Lê Thị Thu;19950425;Phước Tiến- Bác Ái- Ninh Thuận;Nữ
16130331;Lý Thạch Thông;19980808;Song Khê- Bắc Giang -Bắc Giang;Nam
13130154;Lý Thạc Sanh;19941221;Nông Thượng- Bắc Kạn -Bắc Kạn;Nam
16247594;Phạm Văn Linh;19980218;Ninh Tiến -Ninh Bình- Ninh Bình ;Nam
16983742;Phan Hoa Tiên;19980428; Lộc Ninh -Đồng Hới -Quảng Bình;Nữ
16493802;Lê Văn Huy;19981028;Cẩm Thanh -Hội An- Quảng Nam;Nam
16632021;Ký Tồn Huy;19981002; Quảng Minh -Sầm Sơn- Thanh Hóa;Nam
14129032;Ly Thị Đẹp;19941209; Đồng Liên- Thái Nguyên -Thái Nguyên;Nữ
15127131;Phan Châu Hồng;19941028; Lưỡng Vượng- Tuyên Quang -Tuyên Quang;Nữ
17126301;Phan Hoa Lan;19991205; Cư Bao -Buôn Hồ -Đắk Lắk;Nữ
16136492;Đỗ Văn Đông;19890201; Long Toàn- Duyên Hải -Trà Vinh;Nam
16795187;Nguyễn Thị Kim Xuân;19951209; Hồng Phong- Đông Triều- Quảng Ninh;Nữ
16527123;Lê Cát Trọng Hiếu;19960617; Bình Đông -Gò Công- Tiền Giang;Nam
16137994;Lê Mai;19981129; Thủy Bằng -Hương Thủy -Thừa Thiên - Huế;Nữ
16261701;Nguyễn Tùng Táng;19981226;Kỳ Hoa -Kỳ Anh- Hà Tĩnh;Nam
16352701;Lai Thị Gấm;19990629; Lay Nưa- Mường Lay- Điện Biên;Nữ
16328931;Lý Cẩm Mai;19970412; Ninh Phụng- Ninh Hòa- Khánh Hòa;Nữ
16163780;Châu Tấn;19980423; Phúc Thuận -Phổ Yên- Thái Nguyên;Nữ
16112733;Lưu Diệc Phi ;19980423; Phước Tín- Phước Long -Bình Phước;Nữ
16130384;Ngô Diệc Phàm;19940221; Cổ Đông- Sơn Tây -Hà Nội;Nam
17130384;Dương Dương;19980423; Vĩnh Hòa- Tân Châu- An Giang;Nam
